,Unnamed: 0,POPESTIMATE2019,FIPS
602,602,7681,16077.0
603,603,12882,16079.0
604,604,12142,16081.0
605,605,86878,16083.0
606,606,11392,16085.0
607,607,10194,16087.0
608,608,12671821,17000.0
609,609,65435,17001.0
610,610,5761,17003.0
611,611,16426,17005.0
612,612,53544,17007.0
613,613,6578,17009.0
614,614,32628,17011.0
615,615,4739,17013.0
616,616,14305,17015.0
617,617,12147,17017.0
618,618,209689,17019.0
619,619,32304,17021.0
620,620,15441,17023.0
621,621,13184,17025.0
622,622,37562,17027.0
623,623,50621,17029.0
624,624,5150233,17031.0
625,625,18667,17033.0
626,626,10766,17035.0
627,627,104897,17037.0
628,628,15638,17039.0
629,629,19465,17041.0
630,630,922921,17043.0
631,631,17161,17045.0
632,632,6395,17047.0
633,633,34008,17049.0
634,634,21336,17051.0
635,635,12961,17053.0
636,636,38469,17055.0
637,637,34340,17057.0
638,638,4828,17059.0
639,639,12969,17061.0
640,640,51054,17063.0
641,641,8116,17065.0
642,642,17708,17067.0
643,643,3821,17069.0
644,644,6646,17071.0
645,645,48913,17073.0
646,646,27114,17075.0
647,647,56750,17077.0
648,648,9610,17079.0
649,649,37684,17081.0
650,650,21773,17083.0
651,651,21235,17085.0
652,652,12417,17087.0
653,653,532403,17089.0
654,654,109862,17091.0
655,655,128990,17093.0
656,656,49699,17095.0
657,657,696535,17097.0
658,658,108669,17099.0
659,659,15678,17101.0
660,660,34096,17103.0
661,661,35648,17105.0
662,662,28618,17107.0
663,663,29682,17109.0
664,664,307774,17111.0
665,665,171517,17113.0
666,666,104009,17115.0
667,667,44926,17117.0
668,668,262966,17119.0
669,669,37205,17121.0
670,670,11438,17123.0
671,671,13359,17125.0
672,672,13772,17127.0
673,673,12196,17129.0
674,674,15437,17131.0
675,675,34637,17133.0
676,676,28414,17135.0
677,677,33658,17137.0
678,678,14501,17139.0
679,679,50643,17141.0
680,680,179179,17143.0
681,681,20916,17145.0
682,682,16344,17147.0
683,683,15561,17149.0
684,684,4177,17151.0
685,685,5335,17153.0
686,686,5739,17155.0
687,687,31782,17157.0
688,688,15513,17159.0
689,689,141879,17161.0
690,690,259686,17163.0
691,691,23491,17165.0
692,692,194672,17167.0
693,693,6768,17169.0
694,694,4951,17171.0
695,695,21634,17173.0
696,696,5342,17175.0
697,697,44498,17177.0
698,698,131803,17179.0
699,699,16653,17181.0
700,700,75758,17183.0
701,701,11520,17185.0
702,702,16844,17187.0
703,703,13887,17189.0
704,704,16215,17191.0
705,705,13537,17193.0
706,706,55175,17195.0
707,707,690743,17197.0
708,708,66597,17199.0
709,709,282572,17201.0
710,710,38459,17203.0
711,711,6732219,18000.0
712,712,35777,18001.0
713,713,379299,18003.0
714,714,83779,18005.0
715,715,8748,18007.0
716,716,11758,18009.0
717,717,67843,18011.0
718,718,15092,18013.0
719,719,20257,18015.0
720,720,37689,18017.0
721,721,118302,18019.0
722,722,26225,18021.0
723,723,32399,18023.0
724,724,10577,18025.0
725,725,33351,18027.0
726,726,49458,18029.0
727,727,26559,18031.0
728,728,43475,18033.0
729,729,114135,18035.0
730,730,42736,18037.0
731,731,206341,18039.0
732,732,23102,18041.0
733,733,78522,18043.0
734,734,16346,18045.0
735,735,22758,18047.0
736,736,19974,18049.0
737,737,33659,18051.0
738,738,65769,18053.0
739,739,31922,18055.0
740,740,338011,18057.0
741,741,78168,18059.0
742,742,40515,18061.0
743,743,170311,18063.0
744,744,47972,18065.0
745,745,82544,18067.0
746,746,36520,18069.0
747,747,44231,18071.0
748,748,33562,18073.0
749,749,20436,18075.0
750,750,32308,18077.0
751,751,27735,18079.0
752,752,158167,18081.0
753,753,36594,18083.0
754,754,79456,18085.0
755,755,39614,18087.0
756,756,485493,18089.0
757,757,109888,18091.0
758,758,45370,18093.0
759,759,129569,18095.0
760,760,964582,18097.0
761,761,46258,18099.0
762,762,10255,18101.0
763,763,35516,18103.0
764,764,148431,18105.0
765,765,38338,18107.0
766,766,70489,18109.0
767,767,13984,18111.0
768,768,47744,18113.0
769,769,5875,18115.0
770,770,19646,18117.0
771,771,20799,18119.0
772,772,16937,18121.0
773,773,19169,18123.0
774,774,12389,18125.0
775,775,170389,18127.0
776,776,25427,18129.0
777,777,12353,18131.0
778,778,37576,18133.0
779,779,24665,18135.0
780,780,28324,18137.0
781,781,16581,18139.0
782,782,271826,18141.0
783,783,23873,18143.0
784,784,44729,18145.0
785,785,20277,18147.0
786,786,22995,18149.0
787,787,34594,18151.0
788,788,20669,18153.0
789,789,10751,18155.0
790,790,195732,18157.0
791,791,15148,18159.0
792,792,7054,18161.0
793,793,181451,18163.0
794,794,15498,18165.0
795,795,107038,18167.0
796,796,30996,18169.0
797,797,8265,18171.0
798,798,62998,18173.0
799,799,28036,18175.0
800,800,65884,18177.0
801,801,28296,18179.0
802,802,24102,18181.0
803,803,33964,18183.0
804,804,3155070,19000.0
805,805,7152,19001.0
806,806,3602,19003.0
807,807,13687,19005.0
808,808,12426,19007.0
809,809,5496,19009.0
810,810,25645,19011.0
811,811,131228,19013.0
812,812,26234,19015.0
813,813,25062,19017.0
814,814,21175,19019.0
815,815,19620,19021.0
816,816,14439,19023.0
817,817,9668,19025.0
818,818,20165,19027.0
819,819,12836,19029.0
820,820,18627,19031.0
821,821,42450,19033.0
822,822,11235,19035.0
823,823,11933,19037.0
824,824,9395,19039.0
825,825,16016,19041.0
826,826,17549,19043.0
827,827,46429,19045.0
828,828,16820,19047.0
829,829,93453,19049.0
830,830,9000,19051.0
831,831,7870,19053.0
832,832,17011,19055.0
833,833,38967,19057.0
834,834,17258,19059.0
835,835,97311,19061.0
836,836,9208,19063.0
837,837,19650,19065.0
838,838,15642,19067.0
839,839,10070,19069.0
840,840,6960,19071.0
841,841,8888,19073.0
842,842,12232,19075.0
843,843,10689,19077.0
844,844,14773,19079.0
845,845,10630,19081.0
846,846,16846,19083.0
847,847,14049,19085.0
848,848,19954,19087.0
849,849,9158,19089.0
850,850,9558,19091.0
851,851,6860,19093.0
852,852,16184,19095.0
853,853,19439,19097.0
854,854,37185,19099.0
855,855,18295,19101.0
856,856,151140,19103.0
857,857,20681,19105.0
858,858,10246,19107.0
859,859,14813,19109.0
860,860,33657,19111.0
861,861,226706,19113.0
862,862,11035,19115.0
863,863,8600,19117.0
864,864,11755,19119.0
