,Unnamed: 0,Unnamed: 0.1,POPESTIMATE2019,FIPS,beta,f
124,1790,1790,471519,32031.0,4.4577070794926244e-07,0.05393834469596191
125,1799,1799,417025,33011.0,5.846113642939658e-07,0.07649496494504834
126,1801,1801,309769,33015.0,6.796947067249889e-07,0.04213404960593265
127,1805,1805,263670,34001.0,9.637831689307684e-07,0.0934761861191205
128,1806,1806,932202,34003.0,2.874387284046052e-07,0.15242791285827045
129,1807,1807,445349,34005.0,5.59889783773055e-07,0.09116386987307792
130,1808,1808,506471,34007.0,4.76263991456168e-07,0.07861537116644403
131,1811,1811,798975,34013.0,3.7434703361658037e-07,0.217978769473444
132,1812,1812,291636,34015.0,8.877884175531374e-07,0.07459033785223915
133,1813,1813,672391,34017.0,4.267060570072014e-07,0.12393170404490807
134,1814,1814,124371,34019.0,1.9014786395810096e-06,0.08713107715998668
135,1815,1815,367430,34021.0,-5.646518582063642e-06,-1.1413874321825792
136,1816,1816,825062,34023.0,3.509727684064064e-07,0.115153814473882
137,1817,1817,618795,34025.0,4.2954144677267465e-07,0.12046344315092966
138,1818,1818,491845,34027.0,5.60154193138881e-07,0.175256871802815
139,1819,1819,607186,34029.0,4.685511665418004e-07,0.14296311120543603
140,1820,1820,501826,34031.0,5.544121636869411e-07,0.09598610609323889
141,1822,1822,328934,34035.0,-6.31960763520886e-06,-1.6146239913947835
142,1823,1823,140488,34037.0,1.863379337403555e-06,0.24440787226637015
143,1824,1824,556341,34039.0,5.09326315670455e-07,0.12244426998558931
144,1825,1825,105267,34041.0,2.3871840525727484e-06,0.18020356375630175
145,1827,1827,679121,35001.0,3.315281403082553e-07,0.08325570921403604
146,1851,1851,123958,35045.0,2.1075574846249188e-06,0.15769527457774718
147,1861,1861,305506,36001.0,7.725721391770861e-07,0.08956076534735873
148,1874,1874,294218,36027.0,8.874800852587498e-07,0.052416779800071506
149,1875,1875,918702,36029.0,3.0038887528136613e-07,0.16638650822318002
150,1888,1888,741770,36055.0,3.226853986455949e-07,0.12799639408486815
151,1890,1890,1356924,36059.0,2.138165166078429e-07,0.1417476221390917
152,1894,1894,460528,36067.0,5.290823061254874e-07,0.08732791145788824
153,1896,1896,384940,36071.0,-5.42555484742663e-06,-0.5425669254170273
154,1900,1900,98320,36079.0,2.4894876273194485e-06,0.1004039441316784
155,1904,1904,325789,36087.0,8.308800669818668e-07,0.06847524016315995
156,1907,1907,155299,36093.0,1.413225233544167e-06,0.09389669950037476
157,1912,1912,1476601,36103.0,2.0426626150475774e-07,0.09259184444652448
158,1920,1920,967506,36119.0,2.911962776769357e-07,0.09015986260900921
159,1964,1964,537174,37081.0,-3.7655328669477547e-06,-1.0416153032252908
160,1983,1983,1110356,37119.0,-1.840221942009382e-06,-0.5909233185782438
161,2096,2096,1235072,39035.0,1.9522215649875006e-07,0.09824590847982892
162,2103,2103,1316756,39049.0,1.9911420084508464e-07,0.06381573561037399
163,2109,2109,817473,39061.0,3.275183252855577e-07,0.12961599492989945
164,2125,2125,309833,39093.0,7.12932417230504e-07,0.10013536423612861
165,2126,2126,428348,39095.0,5.850981080738547e-07,0.1518219920685887
166,2128,2128,228683,39099.0,1.0896011640770356e-06,0.1946071585321203
167,2133,2133,106987,39109.0,1.944190499605609e-06,0.30214381095578996
168,2145,2145,162466,39133.0,1.4546023013588713e-06,0.31260844408970573
169,2154,2154,370606,39151.0,5.556855839542353e-07,0.1894578337549497
170,2155,2155,541013,39153.0,4.2101873732069977e-07,0.14103684079189222
171,2156,2156,197974,39155.0,1.0474224579194491e-06,0.14307742779214289
172,2163,2163,115710,39169.0,1.982006570408718e-06,0.373938926664369
173,2181,2181,284014,40027.0,7.914842787459361e-07,0.12451457033026757
174,2222,2222,797434,40109.0,2.907091740753029e-07,0.07751640135013806
175,2239,2239,651552,40143.0,3.118321204194533e-07,0.09069395317887365
176,2271,2271,812855,41051.0,2.7026610746580296e-07,0.10224164375154911
177,2284,2284,1216045,42003.0,-1.6809413789853632e-06,-1.2502427691858955
178,2286,2286,163929,42007.0,1.4030382824131858e-06,0.26971429356663174
179,2288,2288,421164,42011.0,-4.936400129183355e-06,-1.0277780532658687
180,2291,2291,628270,42017.0,4.0749753838514316e-07,0.1384642497734324
181,2297,2297,524989,42029.0,4.672478122626233e-07,0.14189775141405658
182,2304,2304,278299,42043.0,9.42431049538616e-07,0.08526599225893512
183,2305,2305,566747,42045.0,4.289920981730791e-07,0.10207876672465861
184,2317,2317,209674,42069.0,-9.761548617369424e-06,-1.6009666837048837
185,2318,2318,545724,42071.0,5.118716312887447e-07,0.23554780452223226
