,POPESTIMATE2019,FIPS,beta,f,cost
278,6897,8055.0,1.0883097224524818e-05,5.22343812595083e-06,3.7006379025739535e-11
280,582881,8059.0,8.250332532335468e-06,4.446026978044415e-05,76.07931032478022
282,7097,8063.0,1.9356304654478232e-05,0.04909599366379698,0.19033310976335052
283,8127,8065.0,9.732522153187488e-06,2.644210147326187e-06,5.448801770147678e-12
284,56221,8067.0,1.2988555686680906e-06,0.00020944553991682907,6.15041381492543e-08
285,356899,8069.0,8.042309762482099e-07,0.013833378118765519,15.188376078791569
287,5701,8073.0,1.0272378024836836e-05,0.00013909230081143864,1.5552106669862642e-08
288,22409,8075.0,1.1300064102757338e-05,0.023026943884400068,0.03897981456351089
289,154210,8077.0,5.214680206119818e-08,0.020380508399076954,0.0002381522448177377
290,769,8079.0,1.7740705683437703e-05,5.680649328697329e-05,1.1844340498849732e-09
291,13283,8081.0,9.599345642812973e-06,0.00011449676587708957,3.3564021019996395e-08
292,26183,8083.0,1.52010308306776e-05,0.028954943525333406,1.0955757475204846
293,42758,8085.0,7.985014082710503e-06,0.03324033505775808,2.2701447428350052
294,29068,8087.0,8.620730306841567e-06,0.02850436346932778,0.1753628679448055
295,18278,8089.0,3.3216126508542603e-06,0.00018647131344914913,3.3430305446283624e-08
297,18845,8093.0,9.950531701824077e-06,3.4097422545550926e-05,5.575589053008305e-08
298,4265,8095.0,1.9704551521653366e-06,3.5367972945274384e-05,4.066803498764968e-10
299,17767,8097.0,1.1168594212930927e-05,0.049942092633980986,0.9168008466093358
301,168424,8101.0,1.5428636670298203e-06,0.03412776715529094,1.0622186320691736
303,11267,8105.0,8.435131526777037e-06,1.0055884070409027e-05,1.7148908702991157e-10
304,25638,8107.0,8.286744496189437e-06,0.0277333686574581,0.04662902721552468
305,6824,8109.0,8.062607222189997e-06,1.7006540270037007e-05,1.6021938351234402e-10
307,8179,8113.0,1.5756057395551588e-05,3.1146363042952596e-05,7.1287399263179526e-09
309,31011,8117.0,6.729295597795234e-06,0.019701127788362617,0.04246605311927122
310,25388,8119.0,1.1448900184525131e-05,0.03787087644546368,0.9238379955283275
311,4908,8121.0,1.2654950700387427e-05,0.0002032484790486233,3.793521063280403e-08
312,324492,8123.0,5.88986453048731e-06,0.00011887289101243301,197.2365209032477
313,10019,8125.0,1.0341608333715089e-05,0.00012463898353497205,6.791785660890694e-08
315,943332,9001.0,1.2855944578193484e-05,0.0002162611934786729,12992.269025433943
316,891720,9003.0,8.533952554928847e-06,0.00015735371391778497,5797.635953522618
317,180333,9005.0,1.8261146481627565e-06,0.03058101988190709,43.500470714113376
318,162436,9007.0,4.909531678280365e-06,0.0004163909284384537,13.014385894882743
319,854757,9009.0,5.068792184661713e-07,0.027105457088210702,2493.093534409509
320,265206,9011.0,1.3794215728594036e-06,0.022281068529366753,8.071366397152433
321,150721,9013.0,1.3719078244862768e-05,0.0001759449097285884,7.483694866564716
322,116782,9015.0,2.2376723276707356e-06,0.02588764474606153,0.14968590288927627
324,180786,10001.0,1.8553650007162512e-06,0.025918991696933534,3.148596637847995
325,558753,10003.0,5.954321636159456e-07,0.01817546641351294,40.41827224442673
326,234225,10005.0,1.4985733285414872e-06,0.032305849432922834,15.705154710228063
328,705749,11001.0,4.6317091796911785e-07,0.02550943481869915,208.52829994947223
330,269043,12001.0,4.845778151112257e-07,0.0005425993243994703,7.243901052960939e-06
331,29210,12003.0,8.35609228949989e-06,0.03166159526749021,0.22317653155088157
332,174705,12005.0,1.5346018013901296e-06,0.031444094856770397,0.26436608070957895
333,28201,12007.0,1.0638213853426113e-05,0.020906455541840393,0.05853053340435075
334,601942,12009.0,4.716580133104343e-07,0.02873902260977512,2.526896167059213
335,1952778,12011.0,1.2398784571189292e-07,0.03585323497632937,2114.4824547171297
336,14105,12013.0,1.035205233936636e-05,8.162560153918141e-05,1.5267947274957467e-08
337,188910,12015.0,1.2966890490098317e-06,0.031209253660213626,0.9544664034875213
338,149657,12017.0,2.01192504446357e-06,0.026894378207628387,5.125034117884588
339,219252,12019.0,1.2577967211410076e-06,0.029578612347517186,13.037212133709975
340,384902,12021.0,7.217272151419478e-07,0.017402548785357935,1.339150980647728
341,71686,12023.0,3.0911193675761107e-06,0.00012231474858220848,1.4483518091753716e-06
342,38001,12027.0,8.406359359138662e-06,0.03488767450412929,2.118799289904108
344,957755,12031.0,3.100856021335346e-07,0.022357494592220705,29.144252034211547
345,318316,12033.0,8.9740472213736e-07,0.03452472881186324,0.6105766902097185
346,115081,12035.0,2.2311006317889493e-06,0.0492436506871734,0.3924467414308495
348,45660,12039.0,2.336487194589704e-06,4.91474101453615e-05,5.777498556030622e-09
350,13811,12043.0,1.9706349214252432e-05,0.04961444729145867,0.5724929902518285
351,13639,12045.0,6.5943090497303785e-06,1.4562177668514531e-05,1.7302888849169552e-10
353,26937,12049.0,7.1572380560996905e-06,0.00016629466307775675,1.192995675696875e-07
354,42022,12051.0,1.184893077095628e-05,0.0008647483002000578,0.020778213732323136
355,193920,12053.0,1.2692450263432306e-06,0.04952888111195261,0.22639322983749818
356,106221,12055.0,3.0756212108519986e-06,0.03867531653098803,3.7652133056515766
357,1471968,12057.0,8.442082071774925e-07,3.5209398229901767e-06,37.019516224572286
358,19617,12059.0,1.0697544998557688e-05,0.0001326804527214953,1.6963279982799867e-07
359,159923,12061.0,1.7934685650492703e-06,0.02274694019043097,0.05169255047071634
360,46414,12063.0,2.1698461001895303e-06,0.0004192774878727379,6.497378293955001e-07
363,367118,12069.0,8.65288795061521e-07,0.010470906304933286,2.090913055061787
364,770577,12071.0,3.635901184097142e-07,0.03862842682251377,81.61082033347967
365,293582,12073.0,9.078711942885e-07,0.00859826008339623,0.03472242489938574
366,41503,12075.0,6.139027882728383e-07,0.0012782844195722218,7.865260019083241e-07
368,18493,12079.0,1.9434891662530507e-05,0.012220620417274928,0.030074947262807315
369,403253,12081.0,6.105400291943354e-07,0.01705412117095414,27.372656760915508
370,365579,12083.0,8.102462509857254e-07,0.039202895162113324,1.1102553422610126
371,161000,12085.0,1.8853070722097141e-06,0.025136552933217354,0.9804203269061745
372,2716940,12086.0,1.3890376702235856e-07,0.027855491860807324,1382.9800078438677
373,74228,12087.0,3.981391855350371e-06,0.02900054673212735,1.6785008544939986
374,88625,12089.0,3.636060172017356e-08,0.01637897681897858,0.00015240118402560582
375,210738,12091.0,9.094040318981557e-07,0.02810509794297175,0.16024953103574227
376,42168,12093.0,8.472780333692333e-06,2.674008631881053e-06,7.715758190519913e-10
377,1393452,12095.0,1.3939773282392983e-07,0.04375575418828205,97.04686114934499
378,375751,12097.0,6.540683158649288e-07,0.04094263215735661,3.7813065714975984
379,1496770,12099.0,2.4730033118476307e-07,0.031857291970460326,1225.3796103770214
380,553947,12101.0,3.6446090349003123e-07,0.03196194905455806,1.460302632110485
381,974996,12103.0,3.0658037653110885e-07,0.010104147670851396,31.402885177384157
382,724777,12105.0,4.2318260394332463e-07,0.047770730821180066,8.34123490471117
383,74521,12107.0,3.426747535437933e-06,0.02616009706112063,0.24090497910690406
384,264672,12109.0,8.184308447738435e-07,0.030499266242838843,1.3447324575109105
385,328297,12111.0,1.1120916985963672e-06,0.03508665959236351,8.503995714177647
386,184313,12113.0,1.21237280260496e-06,0.024556887639114643,1.0357346041548905
387,433742,12115.0,7.13666476578656e-07,0.030145333049361667,15.198592409218076
388,471826,12117.0,4.969442454450444e-07,0.026202540009667232,0.27470609228032317
389,132420,12119.0,2.8296603308777625e-06,0.012244004225498801,15.059990201888338
