,FIPS,POPESTIMATE2019,RBIRTH2019,RDEATH2019,PCTPOVALL_2018,Unemployment_rate_2018,Median_Household_Income_2018,Med_HH_Income_Percent_of_State_Total_2018,popdensity,pct_blk,pct_asian,pct_native,pct_white,beta,f
39,12095,1393452,12.1960712,6.407225679,15.6,3.2,58037.0,104.6976,2779.2317328205104,0.18293892717922502,0.0459486596214553,0.0021659130100848897,0.685752901833143,1.7733494535684035e-07,0.046765389426404826
40,12099,1496770,10.03273543,10.37707164,12.2,3.6,61735.0,111.3687,3097.1508281081105,0.17708398644689602,0.0240955034300845,0.0018514192226061898,0.748333267476611,1.7407423986366025e-07,0.1347615776691046
41,12103,974996,8.320097902999999,13.17519946,11.7,3.3,52226.0,94.2146,3897.9905222222205,0.0880698171716993,0.0318531529600506,0.00266022753328283,0.841528273315621,2.269973110319657e-07,0.07214036244815973
42,12115,433742,6.592478992999999,14.24766095,10.3,3.4,61652.0,111.2189,1839.64532647059,0.0483176481299012,0.0138563224562299,0.0024117386720079997,0.911716800875037,4.851398134719126e-07,0.17623806361843386
43,13015,107738,11.84404715,9.172598031,12.2,3.8,57409.0,97.9108,241.855248888889,0.081206580916736,0.0163674565778322,0.00278091559818105,0.851657459220857,1.904620010956026e-06,0.1533754176221829
44,13063,292256,14.01317045,6.3702483260000005,17.6,4.9,46059.0,78.5534,2136.21738461538,0.638157843624105,0.0486335926730794,0.0030998701075560303,0.237653288703043,8.120602496309784e-07,0.07521133720874165
45,13067,760141,12.07615563,6.224727297,9.1,3.4,78603.0,134.057,2402.9994137931,0.272543503532585,0.0572728340759932,0.00223803905772139,0.580302737413276,3.005862927754519e-07,0.100058480955241
46,13089,759297,14.2979508,6.641117472,14.3,4.0,63477.0,108.2597,3282.8222272727303,0.426650315202156,0.0750837538564557,0.00548419739408535,0.436824386304661,3.161302014004143e-07,0.04316440857137865
47,13095,87956,14.16830364,10.73630021,29.5,5.1,38806.0,66.1834,516.723823,0.7082332323700191,0.00646531257385784,0.0012252222156703,0.255899645544628,2.9494549952707903e-06,0.16667064021120814
48,13121,1063937,11.93149889,7.017749666,13.5,4.0,70808.0,120.7627,3576.0502560526293,0.484156784799675,0.0543255081057849,0.00323941923432626,0.41761298186152,2.121018159842869e-07,0.07123023191580807
49,13135,936250,12.20012803,5.07515882,9.2,3.5,72008.0,122.8093,2453.62253571429,0.254007280398758,0.118120831738243,0.00343279917079984,0.504820340484329,2.453195467861861e-07,0.06084286563230669
50,13205,21863,11.13686986,10.72776035,29.3,5.4,36788.0,62.7418,44.5936666666667,0.370199547314664,0.00872087009876653,0.00149955171966745,0.580615048816965,1.1697729500435445e-05,0.2082909340592376
51,13261,29524,12.71072151,11.42953473,25.7,5.9,37562.0,64.0618,53.116776666666695,0.413769301129378,0.00681238805410732,0.00126175729892114,0.551930997409185,8.232196588947695e-06,0.13274322512142414
52,17031,5150233,11.97846233,8.221508743,13.8,4.0,63347.0,97.3626,8295.05313225807,0.191263546271262,0.100792441833396,0.00211127059729044,0.619315531563753,3.705812774756253e-08,0.05835318610211605
53,17043,922921,10.98062446,7.129082332,6.6,3.1,93540.0,143.7683,3212.08105769231,0.0443761275532618,0.10951975769649198,0.0025507007361288197,0.7883906839107572,2.9062872613562944e-07,0.1213928282340322
54,17089,532403,11.73385609,6.504413105,8.6,4.9,79834.0,122.7026,2282.40292464286,0.0434083248045317,0.0433990193940593,0.0039068978867582,0.7690621246065991,4.393434747550315e-07,0.06700254856160591
55,17091,109862,11.28221459,10.618019699999998,16.2,5.4,53884.0,82.8182,391.661387333333,0.101059674832815,0.00572185461760728,0.004478651418845661,0.8617703162083191,2.0923304737245195e-06,0.1499015146497513
56,17097,696535,10.40166977,6.847539112000001,8.0,4.5,87336.0,134.233,2505.07025333333,0.0884911384431966,0.0588931213063796,0.00147588353010033,0.782293854023998,3.7259200619618157e-07,0.08440066220266358
57,17163,259686,11.87994918,10.45205222,14.8,5.0,58222.0,89.4856,785.075967,0.31187139578879197,0.00863712733749414,0.0023375306140544,0.6411880904009589,8.528260816297871e-07,0.10864457617992396
58,18003,379299,13.66688848,8.383065254,13.5,3.2,54473.0,97.7533,1813.96871735849,0.134399145497894,0.0240156699321504,0.00320314977233189,0.766209769859263,6.582054791952785e-07,0.15964062327361078
59,18031,26559,12.01111028,10.24697846,11.7,3.0,57441.0,103.0794,342.92259166666696,0.00923586168127779,0.00672822551383639,0.00125019534302235,0.965767509481491,9.121657586902738e-06,0.2682311274338484
60,18057,338011,11.46752613,5.65894883,4.2,2.7,101740.0,182.5751,1160.937193125,0.0266973787813849,0.0390644394765742,0.00139105479721854,0.9084118202969471,7.083564105887026e-07,0.14907800675396732
61,18063,170311,10.26632544,6.755254004,5.9,2.9,80834.0,145.0588,995.509064166667,0.0507445628054283,0.0158722574330679,0.0019128996871909801,0.9089925904345841,1.2498430518289048e-06,0.07752666998987147
62,18081,158167,11.51912429,8.267040031,7.7,2.9,69880.0,125.4015,724.620266666667,0.014895196013489998,0.0140342423830954,0.00175748928854702,0.948930568229668,1.382201393121693e-06,0.17055118148226894
63,18089,485493,11.21314565,10.36978843,15.7,4.9,55280.0,99.2014,1858.66656125,0.30160299063879603,0.0105019735430619,0.00305775227086043,0.5739034060385569,5.556112636093774e-07,0.10554331003063057
64,18097,964582,14.76954498,8.51669178,17.2,3.5,48409.0,86.8712,2868.0255586206895,0.25595322099891604,0.0237778582008958,0.00285003070105114,0.642600234895754,2.6065666443386867e-07,0.1168805724364649
65,19113,226706,12.08480581,7.960766372999999,9.4,2.8,64878.0,108.0022,894.477472333333,0.043968113473772004,0.0163654571435233,0.0009291098608067289,0.904115953675841,1.1503650802338162e-06,0.14011836928751242
66,19153,490161,13.83205225,7.336110672999999,9.9,2.5,68479.0,113.9968,2287.11763611111,0.0888413427657526,0.0675339790059267,0.00283960754403618,0.790997003623324,4.932453586320655e-07,0.06945073818565281
67,20091,602401,11.8697773,6.7803499789999995,5.5,2.9,87087.0,149.7627,2432.7396865116298,0.0512282314407361,0.0421307236428421,0.0028592390216675397,0.8669870910543279,3.365013283967697e-07,0.13130259764414162
68,20209,165429,14.97808012,8.604686318999999,18.4,4.8,47084.0,80.9699,1910.07672857143,0.19126575278304503,0.0367869976731826,0.00518450332892251,0.623835326715143,1.3530934619663878e-06,0.15733260779035954
69,21111,766757,12.51320969,10.09083577,15.4,4.1,55860.0,111.2993,2794.03289253731,0.213347321425278,0.0204793444192311,0.00148264734671485,0.7315669653964929,2.950321365722049e-07,0.13274705790464295
